code;value;year
DEU;23.6;2022
AUS;22.7;2022
NLD;22.1;2022
SWE;20.9;2022
IRL;20.8;2022
CAN;20.1;2022
LUX;20;2022
CHE;18.9;2022
DNK;18.1;2022
NZL;17.5;2022
ISL;17.1;2022
NOR;15.6;2022
FIN;15.1;2022
YEM;111.7;2021
SOM;110.9;2021
SYR;110.7;2021
SSD;109.4;2021
COD;108.4;2021
CAF;107;2021
TCD;105.8;2021
SDN;105.2;2021
AFG;102.1;2021
ZWE;99.1;2021
ETH;99;2021
NGA;98;2021
HTI;97.5;2021
GIN;97.4;2021
CMR;97.2;2021
BDI;97.1;2021
ERI;97;2021
LBY;97;2021
MLI;96.6;2021
IRQ;96.2;2021
NER;96;2021
MOZ;93.9;2021
MMR;93.8;2021
UGA;92.9;2021
VEN;92.6;2021
COG;92.4;2021
GNB;92;2021
CIV;90.7;2021
PAK;90.5;2021
PRK;90;2021
LBR;89.5;2021
KEN;89.2;2021
MRT;89.1;2021
LBN;89;2021
AGO;89;2021
BFA;87.1;2021
PSE;86;2021
TGO;85.1;2021
BGD;85;2021
EGY;85;2021
RWA;85;2021
ZMB;84.9;2021
IRN;84.5;2021
GNQ;84.1;2021
SLE;83.4;2021
MWI;83.2;2021
SWZ;82.5;2021
COM;82.5;2021
DJI;82.4;2021
PHL;82.4;2021
NPL;82.2;2021
TLS;80.9;2021
PNG;80.9;2021
KHM;80.6;2021
LKA;80.5;2021
GMB;80.5;2021
TUR;79.7;2021
MDG;79.5;2021
HND;79.4;2021
GTM;79.4;2021
SLB;79.3;2021
COL;79.3;2021
TZA;79.3;2021
LSO;77.9;2021
NIC;77.1;2021
IND;77;2021
JOR;76.8;2021
KGZ;76.4;2021
LAO;76;2021
BRA;75.8;2021
AZE;75.1;2021
TJK;75.1;2021
BOL;74.9;2021
DZA;73.6;2021
RUS;73.6;2021
SEN;73.4;2021
BIH;72.9;2021
BEN;72.8;2021
GEO;72.6;2021
UZB;72;2021
FSM;71.7;2021
SLV;71.6;2021
STP;71.5;2021
MAR;71.5;2021
PER;71.4;2021
ECU;71.2;2021
THA;70.9;2021
FJI;70.4;2021
ZAF;70;2021
MEX;69.9;2021
ARM;69.8;2021
UKR;69.8;2021
SAU;69.7;2021
TUN;69.2;2021
CHN;68.9;2021
BTN;68.3;2021
TKM;68.2;2021
BLR;68;2021
IDN;67.6;2021
MDV;67.6;2021
SRB;67.4;2021
GAB;67.4;2021
MDA;67;2021
BHR;66.7;2021
PRY;66.4;2021
GUY;66.1;2021
DOM;64.7;2021
MKD;64.5;2021
NAM;64.3;2021
WSM;64.2;2021
CPV;64.2;2021
BLZ;64.2;2021
GHA;63.9;2021
VNM;63.3;2021
SUR;61.5;2021
KAZ;61.2;2021
JAM;61.2;2021
CUB;59.5;2021
ALB;59;2021
MNE;58.5;2021
CYP;57.4;2021
BWA;57;2021
MYS;56.9;2021
SYC;56.3;2021
BRN;56.3;2021
GRD;56.1;2021
ATG;54.9;2021
GRC;54.5;2021
KWT;52.9;2021
TTO;52.9;2021
BHS;52.4;2021
MNG;52.3;2021
BGR;51.6;2021
HUN;51.1;2021
ROU;51;2021
OMN;50.4;2021
ARG;50.1;2021
HRV;49.8;2021
PAN;48.7;2021
BRB;47;2021
ITA;45.2;2021
ESP;44.8;2021
USA;44.6;2021
CHL;44.1;2021
QAT;44.1;2021
LVA;44;2021
POL;43.1;2021
ISR;43;2021
CRI;42.5;2021
GBR;41.5;2021
ARE;40.3;2021
EST;39.5;2021
CZE;39.3;2021
SVK;39;2021
LTU;38.7;2021
MUS;38.1;2021
MLT;36.2;2021
URY;35.9;2021
KOR;32.5;2021
FRA;32.5;2021
JPN;32.2;2021
BEL;31;2021
SVN;28.2;2021
PRT;26.8;2021
SGP;26.6;2021
AUT;26.1;2021
DEU;24.8;2021
NLD;24.1;2021
IRL;22.2;2021
AUS;21.8;2021
CAN;21.7;2021
SWE;21.4;2021
LUX;21.1;2021
CHE;19.9;2021
DNK;18.8;2021
NZL;18.4;2021
ISL;18;2021
NOR;16.6;2021
FIN;16.2;2021
YEM;112.4386938;2020
SOM;110.8889593;2020
SSD;110.7521904;2020
SYR;110.7496965;2020
COD;109.394621;2020
CAF;107.4866047;2020
TCD;106.4338206;2020
SDN;104.7658852;2020
AFG;102.9011871;2020
ZWE;99.22085681;2020
BDI;97.87602965;2020
CMR;97.85508161;2020
HTI;97.679;2020
NGA;97.26751113;2020
GIN;97.16761117;2020
MLI;96.04331296;2020
IRQ;95.94116979;2020
ERI;95.84423073;2020
NER;95.31488303;2020
LBY;95.19371849;2020
ETH;94.59577635;2020
MMR;94;2020
GNB;92.90207551;2020
UGA;92.77036847;2020
PAK;92.07809303;2020
COG;92.06819973;2020
MOZ;91.69371296;2020
VEN;91.15759123;2020
KEN;90.31586993;2020
PRK;90.21129785;2020
LBR;90.04390059;2020
CIV;89.72267369;2020
MRT;88.7424686;2020
AGO;87.32003903;2020
RWA;86.0295223;2020
EGY;86.00613825;2020
BFA;85.92852306;2020
TGO;85.84143116;2020
BGD;85.7;2020
LBN;84.72043334;2020
ZMB;84.47412891;2020
SLE;84.35580251;2020
MWI;84.01636088;2020
IRN;83.38660865;2020
GNQ;83.01620386;2020
SWZ;83;2020
DJI;82.72548312;2020
TLS;82.66311378;2020
NPL;82.56660215;2020
PNG;82.29729048;2020
GMB;82.21463957;2020
LKA;81.8;2020
COM;81.24901233;2020
PHL;81;2020
KHM;80.3083811;2020
SLB;79.74524648;2020
MDG;79.5302988;2020
GTM;79.17634844;2020
TUR;79.147394;2020
LSO;78.2901154;2020
TZA;78.14413662;2020
NIC;77.07751153;2020
LAO;76.86018745;2020
HND;76.788977;2020
COL;76.61419216;2020
TJK;75.50515392;2020
JOR;75.42853053;2020
IND;75.30743258;2020
ISR;75.12397172;2020
BOL;74.96686956;2020
DZA;74.5751829;2020
SEN;74.56464775;2020
KGZ;73.92936357;2020
UZB;73.10388718;2020
BRA;72.99411373;2020
RUS;72.5585832;2020
BEN;72.54479809;2020
AZE;71.28215921;2020
FSM;71.23563008;2020
MAR;71.22105198;2020
GEO;71.15229518;2020
THA;70.81357975;2020
STP;70.28190046;2020
BIH;70.22040622;2020
ZAF;70.10724307;2020
CHN;69.8587879;2020
FJI;69.85212212;2020
BTN;69.50902263;2020
ECU;69.40303455;2020
GAB;69.08700134;2020
TKM;69.05814194;2020
UKR;69.00704176;2020
SLV;68.89464371;2020
SAU;68.8;2020
TUN;68.12591303;2020
IDN;67.84550475;2020
